T_FD[K],N_FD
4.28557736361054e-5,9773932.4855452
4.28377192331113e-5,9773351.90167734
4.28197089682412e-5,9772772.65459171
4.28017425720095e-5,9772194.73588816
4.27838197773392e-5,9771618.13724217
4.27659403203261e-5,9771042.85043231
4.27481039386776e-5,9770468.86728458
4.2730310371705e-5,9769896.17967233
4.27125593618626e-5,9769324.77957116
4.26948506531897e-5,9768754.65900352
4.26771839920749e-5,9768185.81006608
4.26595591272472e-5,9767618.22492945
4.2641975809765e-5,9767051.89583798
4.26244337914659e-5,9766486.81505449
4.26069328280427e-5,9765922.9749701
4.25894726759497e-5,9765360.36799402
4.25720530939366e-5,9764798.98660831
4.25546738430395e-5,9764238.82336766
4.25373346858031e-5,9763679.87087175
4.25200353878091e-5,9763122.12181991
4.25027757153631e-5,9762565.56892859
4.24855554370234e-5,9762010.20498606
4.24683743228262e-5,9761456.02282483
4.24512321458107e-5,9760903.01537618
4.24341286804762e-5,9760351.1756152
4.24170637020115e-5,9759800.49653326
4.24000369893481e-5,9759250.97124729
4.23830483213272e-5,9758702.59286278
4.23660974797521e-5,9758155.35458302
4.23491842478508e-5,9757609.24965424
4.233230841027e-5,9757064.27136541
4.23154697538312e-5,9756520.41307543
4.22986680675218e-5,9755977.66821285
4.22819031409647e-5,9755436.03022124
4.22651747659361e-5,9754895.49261351
4.22484827355965e-5,9754356.04894454
4.22318268452453e-5,9753817.69283818
4.22152068907934e-5,9753280.41793275
4.21986226710364e-5,9752744.21796239
4.21820739861275e-5,9752209.08670254
4.21655606368138e-5,9751675.01794264
4.2149082425948e-5,9751142.00554033
4.21326391584803e-5,9750610.04342123
4.21162306399374e-5,9750079.12552454
4.20998566779318e-5,9749549.24585715
4.20835170813979e-5,9749020.39846639
4.20672116605869e-5,9748492.57743987
4.20509402278158e-5,9747965.77693241
4.20347025959517e-5,9747439.99111178
4.2018498579916e-5,9746915.21421267
4.20023279959235e-5,9746391.4405095
4.19861906614773e-5,9745868.66431629
4.19700863961158e-5,9745346.8800135
4.19540150191501e-5,9744826.08196698
4.19379763526685e-5,9744306.26463574
4.19219702200251e-5,9743787.42251785
4.19059964450848e-5,9743269.55012337
4.18900548537197e-5,9742752.64202817
4.1874145273053e-5,9742236.69284677
4.18582675314538e-5,9741721.69723227
4.18424214585323e-5,9741207.64987623
4.1826606884387e-5,9740694.54548166
4.18108236418445e-5,9740182.37884356
4.17950715642092e-5,9739671.14476811
4.17793504852607e-5,9739160.83807268
4.176366024149e-5,9738651.45366615
4.17480006698525e-5,9738142.98646834
4.17323716085118e-5,9737635.43143668
4.17167728960897e-5,9737128.78353937
4.17012043738969e-5,9736623.03783559
4.16856658836924e-5,9736118.18939502
4.16701572676813e-5,9735614.23329783
4.16546783707409e-5,9735111.16471472
4.16392290374425e-5,9734608.97879994
4.16238091135351e-5,9734107.67074463
4.1608418447424e-5,9733607.23583011
4.15930568871977e-5,9733107.66932097
4.15777242821093e-5,9732608.96651838
4.15624204825721e-5,9732111.12276001
4.1547145340895e-5,9731614.13344653
4.15318987090584e-5,9731117.99396162
4.15166804416691e-5,9730622.69977837
4.15014903929987e-5,9730128.24635273
4.14863284191976e-5,9729634.62920323
4.14711943768131e-5,9729141.84385769
4.14560881235253e-5,9728649.88587976
4.14410095188787e-5,9728158.75089533
4.14259584220682e-5,9727668.4345128
4.14109346948815e-5,9727178.93242915
4.13959381980153e-5,9726690.24029721
4.13809687947511e-5,9726202.35385821
4.13660263494781e-5,9725715.26888859
4.13511107262219e-5,9725228.98114695
4.13362217901119e-5,9724743.48642704
4.13213594081097e-5,9724258.78058404
4.13065234482708e-5,9723774.85950801
4.12917137782766e-5,9723291.71907094
4.12769302676296e-5,9722809.35520602
4.12621727861855e-5,9722327.76385467
4.12474412056122e-5,9721846.94101928
4.12327353979238e-5,9721366.8827103
4.12180552354788e-5,9720887.58494625
4.12034005917083e-5,9720409.04378
4.11887713418404e-5,9719931.25532498
4.11741673607096e-5,9719454.21567615
4.11595885249411e-5,9718977.92098886
4.11450347114897e-5,9718502.36742618
4.1130505798366e-5,9718027.5511851
4.11160016639052e-5,9717553.46847022
4.1101522188219e-5,9717080.11554617
4.10870672510117e-5,9716607.4886588
4.10726367337574e-5,9716135.58411384
4.10582305182444e-5,9715664.39822435
4.1043848487298e-5,9715193.9273369
4.10294905240534e-5,9714724.16780526
4.10151565134009e-5,9714255.11604278
4.10008463398113e-5,9713786.76844367
4.09865598887817e-5,9713319.12143542
4.09722970475548e-5,9712852.17150479
4.09580577029473e-5,9712385.91511933
4.09438417435152e-5,9711920.34880571
4.09296490573852e-5,9711455.46907131
4.09154795344172e-5,9710991.2724825
4.09013330647587e-5,9710527.75561234
4.0887209539563e-5,9710064.91506665
4.08731088495474e-5,9709602.74743176
4.08590308878697e-5,9709141.24937877
4.08449755472465e-5,9708680.4175592
4.08309427213904e-5,9708220.24865706
4.08169323042893e-5,9707760.73936278
4.08029441916388e-5,9707301.88642515
4.07889782786877e-5,9706843.68657325
4.07750344623867e-5,9706386.1365944
4.07611126392365e-5,9705929.23325611
4.0747212706719e-5,9705472.97335804
4.07333345640092e-5,9705017.35375788
4.07194781098262e-5,9704562.37129338
4.07056432431486e-5,9704108.02280832
4.06918298646406e-5,9703654.30520432
4.06780378759331e-5,9703201.21541478
4.06642671774828e-5,9702748.75032717
4.06505176721369e-5,9702296.90691249
4.06367892622778e-5,9701845.68212159
4.0623081851959e-5,9701395.07296281
4.06093953440557e-5,9700945.07639847
4.05957296438209e-5,9700495.68947408
4.05820846567475e-5,9700046.90924074
4.05684602878576e-5,9699598.73272926
